id,name,legal_name,idno,niche,niche_label,owner_or_manager,locality,sector,address,phone,email,instagram,facebook,telegram,whatsapp,maps_url,outreach_status,demo_site_url,website_status,verified_at,confidence,purchase_score,estimated_budget_mdl,recommended_approach,source_1,source_2,source_3,website_check_summary,notes
"chisinau-nails-yellow-boutique-001","Yellow Boutique","","","nails","Маникюрные студии","","Chișinău","Rîșcani","Str. Nicolae Dimo 21, Chișinău","+37378757585","","https://www.instagram.com/yellow_boutique.md/","","","","https://apnt.app/yellow_boutique","новый","","verified_no_site","2026-07-15","high","9","7 000–16 000","Прийти с коротким демо сайта салона: каталог работ, цены, онлайн-запись и карта проезда.","https://apnt.app/yellow_boutique","https://www.instagram.com/yellow_boutique.md/","","brand_exact_search: ""Yellow Boutique"" website OR ""official site"" OR ""site oficial"" Chișinău => no_owned_site_found_in_public_search_checkpoint || brand_md_domain_search: ""Yellow Boutique"" site:.md => no_owned_md_domain_found_in_public_search_checkpoint || builder_search: ""Yellow Boutique"" site:tilda.ws OR site:wixsite.com OR site:sites.google.com => no_builder_landing_found_in_public_search_checkpoint || bio_link_check: https://www.instagram.com/yellow_boutique.md/ bio links / website field => no_owned_website_link_recorded_in_checked_public_sources || phone_exact_search: ""+37378757585"" => no_owned_site_found_from_phone_search_checkpoint || probable_domain_check: yellowboutique.md yellowboutique.com yellowboutique.ro => no_probable_owned_domain_confirmed_in_checkpoint","Checkpoint 1: public-source verification recorded; repeat website check before outreach."
"chisinau-nails-mirela-beauty-salon-003","Mirela Beauty Salon","","","nails","Маникюрные студии","","Chișinău","Centru","Str. Bulgară 26, Chișinău","+37360368482","","https://www.instagram.com/mirela.beauty.academy/","","","","https://apnt.app/mirela_beauty_salon","новый","","verified_no_site","2026-07-15","high","8","6 000–14 000","Предложить сайт для салона и академии: услуги, обучение, расписание и заявки.","https://apnt.app/mirela_beauty_salon","https://www.instagram.com/mirela.beauty.academy/","","brand_exact_search: ""Mirela Beauty Salon"" website OR ""official site"" OR ""site oficial"" Chișinău => no_owned_site_found_in_public_search_checkpoint || brand_md_domain_search: ""Mirela Beauty Salon"" site:.md => no_owned_md_domain_found_in_public_search_checkpoint || builder_search: ""Mirela Beauty Salon"" site:tilda.ws OR site:wixsite.com OR site:sites.google.com => no_builder_landing_found_in_public_search_checkpoint || bio_link_check: https://www.instagram.com/mirela.beauty.academy/ bio links / website field => no_owned_website_link_recorded_in_checked_public_sources || phone_exact_search: ""+37360368482"" => no_owned_site_found_from_phone_search_checkpoint || probable_domain_check: mirelabeautysalon.md mirelabeautysalon.com mirelabeautysalon.ro => no_probable_owned_domain_confirmed_in_checkpoint","Checkpoint 1: public-source verification recorded; repeat website check before outreach."
"chisinau-nails-elena-nails-004","Elena Nails","","","nails","Маникюрные студии","","Chișinău","Ciocana","Str. Mircea cel Bătrân 26/1, Chișinău","+37361105345","","https://www.instagram.com/alungire_unghiilor_epilare_let/","https://www.facebook.com/Alungire%20Unghiilor%20Epilare","","","https://apnt.app/elena_nails","новый","","verified_no_site","2026-07-15","high","8","5 000–12 000","Показать мобильный сайт с портфолио маникюра, педикюра и быстрой записью.","https://apnt.app/elena_nails","https://www.instagram.com/alungire_unghiilor_epilare_let/","","brand_exact_search: ""Elena Nails"" website OR ""official site"" OR ""site oficial"" Chișinău => no_owned_site_found_in_public_search_checkpoint || brand_md_domain_search: ""Elena Nails"" site:.md => no_owned_md_domain_found_in_public_search_checkpoint || builder_search: ""Elena Nails"" site:tilda.ws OR site:wixsite.com OR site:sites.google.com => no_builder_landing_found_in_public_search_checkpoint || bio_link_check: https://www.instagram.com/alungire_unghiilor_epilare_let/ bio links / website field => no_owned_website_link_recorded_in_checked_public_sources || phone_exact_search: ""+37361105345"" => no_owned_site_found_from_phone_search_checkpoint || probable_domain_check: elenanails.md elenanails.com elenanails.ro => no_probable_owned_domain_confirmed_in_checkpoint","Checkpoint 1: public-source verification recorded; repeat website check before outreach."
"chisinau-nails-nicole-nails-005","Nicole Nails","","","nails","Маникюрные студии","","Chișinău","Rîșcani","Bulevardul Moscovei 5, Chișinău","+37368426392","","https://www.instagram.com/nicole_nails/","","","","https://apnt.app/nicole_nails","новый","","verified_no_site","2026-07-15","high","7","5 000–10 000","Написать с простым сайтом-портфолио: работы, прайс и кнопка записи.","https://apnt.app/nicole_nails","https://www.instagram.com/nicole_nails/","","brand_exact_search: ""Nicole Nails"" website OR ""official site"" OR ""site oficial"" Chișinău => no_owned_site_found_in_public_search_checkpoint || brand_md_domain_search: ""Nicole Nails"" site:.md => no_owned_md_domain_found_in_public_search_checkpoint || builder_search: ""Nicole Nails"" site:tilda.ws OR site:wixsite.com OR site:sites.google.com => no_builder_landing_found_in_public_search_checkpoint || bio_link_check: https://www.instagram.com/nicole_nails/ bio links / website field => no_owned_website_link_recorded_in_checked_public_sources || phone_exact_search: ""+37368426392"" => no_owned_site_found_from_phone_search_checkpoint || probable_domain_check: nicolenails.md nicolenails.com nicolenails.ro => no_probable_owned_domain_confirmed_in_checkpoint","Checkpoint 1: public-source verification recorded; repeat website check before outreach."
"chisinau-nails-nails-by-yanka-006","Nails by Yanka","","","nails","Маникюрные студии","","Chișinău","Botanica","Bd. Dacia 22, Chișinău","+37360906631","","https://www.instagram.com/nails_by_yanka/","","","","https://apnt.app/nails_by_yanka","новый","","verified_no_site","2026-07-15","high","8","5 000–12 000","Написать с сайтом мастера: портфолио, стерилизация, прайс и запись.","https://apnt.app/nails_by_yanka","https://www.instagram.com/nails_by_yanka/","","brand_exact_search: ""Nails by Yanka"" website OR ""official site"" OR ""site oficial"" Chișinău => no_owned_site_found_in_public_search_checkpoint || brand_md_domain_search: ""Nails by Yanka"" site:.md => no_owned_md_domain_found_in_public_search_checkpoint || builder_search: ""Nails by Yanka"" site:tilda.ws OR site:wixsite.com OR site:sites.google.com => no_builder_landing_found_in_public_search_checkpoint || bio_link_check: https://www.instagram.com/nails_by_yanka/ bio links / website field => no_owned_website_link_recorded_in_checked_public_sources || phone_exact_search: ""+37360906631"" => no_owned_site_found_from_phone_search_checkpoint || probable_domain_check: nailsbyyanka.md nailsbyyanka.com nailsbyyanka.ro => no_probable_owned_domain_confirmed_in_checkpoint","Checkpoint 1: public-source verification recorded; repeat website check before outreach."
"chisinau-nails-jt-beauty-studio-007","JT Beauty Studio","","","nails","Маникюрные студии","","Chișinău","Rîșcani","Str. Nicolae Dimo 4/1, Chișinău","+37378120140","","https://www.instagram.com/jt.beauty.studio/","","","","https://apnt.app/jtbeauty_studio","новый","","verified_no_site","2026-07-15","high","9","7 000–16 000","Показать сайт студии с мастерами, услугами в четыре руки, отзывами и онлайн-записью.","https://apnt.app/jtbeauty_studio","https://www.instagram.com/jt.beauty.studio/","","brand_exact_search: ""JT Beauty Studio"" website OR ""official site"" OR ""site oficial"" Chișinău => no_owned_site_found_in_public_search_checkpoint || brand_md_domain_search: ""JT Beauty Studio"" site:.md => no_owned_md_domain_found_in_public_search_checkpoint || builder_search: ""JT Beauty Studio"" site:tilda.ws OR site:wixsite.com OR site:sites.google.com => no_builder_landing_found_in_public_search_checkpoint || bio_link_check: https://www.instagram.com/jt.beauty.studio/ bio links / website field => no_owned_website_link_recorded_in_checked_public_sources || phone_exact_search: ""+37378120140"" => no_owned_site_found_from_phone_search_checkpoint || probable_domain_check: jtbeautystudio.md jtbeautystudio.com jtbeautystudio.ro => no_probable_owned_domain_confirmed_in_checkpoint","Checkpoint 1: public-source verification recorded; repeat website check before outreach."
"chisinau-nails-nail-room-by-marta-008","Nail Room by Marta","","","nails","Маникюрные студии","","Chișinău","Centru","Str. Albișoara 4, ТЦ Atrium, etaj 10, office 1003, Chișinău","+37369344593","","https://www.instagram.com/nailroombymarta/","https://www.facebook.com/nailsmartasand","","","https://apnt.app/sandulescu_marta","новый","","verified_no_site","2026-07-15","high","8","5 000–12 000","Предложить сайт с портфолио коррекции/наращивания, педикюра, схемой прохода в Atrium и записью.","https://apnt.app/sandulescu_marta","https://www.instagram.com/nailroombymarta/","https://www.facebook.com/nailsmartasand","brand_exact_search: ""Nail Room by Marta"" website OR ""official site"" OR ""site oficial"" Chișinău => no_owned_site_found_in_public_search_checkpoint || brand_md_domain_search: ""Nail Room by Marta"" site:.md => no_owned_md_domain_found_in_public_search_checkpoint || builder_search: ""Nail Room by Marta"" site:tilda.ws OR site:wixsite.com OR site:sites.google.com => no_builder_landing_found_in_public_search_checkpoint || bio_link_check: https://www.instagram.com/nailroombymarta/ bio links / website field => no_owned_website_link_recorded_in_checked_public_sources || phone_exact_search: ""+37369344593"" => no_owned_site_found_from_phone_search_checkpoint || probable_domain_check: nailroombymarta.md nailroombymarta.com nailroombymarta.ro => no_probable_owned_domain_confirmed_in_checkpoint","Checkpoint 1: public-source verification recorded; repeat website check before outreach."
"chisinau-beauty-victoria-ghecrea-009","Victoria Ghecrea","","","beauty","Салоны красоты","","Chișinău","Botanica","Bd. Dacia 5/4, Chișinău","+37376752952","","https://www.instagram.com/beautyghecreasalon/","","","","https://apnt.app/victoria_ghecrea2","новый","","verified_no_site","2026-07-15","high","8","6 000–14 000","Показать сайт салона с полным меню услуг: волосы, ногти, косметология, brows и запись.","https://apnt.app/victoria_ghecrea2","https://www.instagram.com/beautyghecreasalon/","","brand_exact_search: ""Victoria Ghecrea"" website OR ""official site"" OR ""site oficial"" Chișinău => no_owned_site_found_in_public_search_checkpoint || brand_md_domain_search: ""Victoria Ghecrea"" site:.md => no_owned_md_domain_found_in_public_search_checkpoint || builder_search: ""Victoria Ghecrea"" site:tilda.ws OR site:wixsite.com OR site:sites.google.com => no_builder_landing_found_in_public_search_checkpoint || bio_link_check: https://www.instagram.com/beautyghecreasalon/ bio links / website field => no_owned_website_link_recorded_in_checked_public_sources || phone_exact_search: ""+37376752952"" => no_owned_site_found_from_phone_search_checkpoint || probable_domain_check: victoriaghecrea.md victoriaghecrea.com victoriaghecrea.ro => no_probable_owned_domain_confirmed_in_checkpoint","Checkpoint 1: public-source verification recorded; repeat website check before outreach."
"chisinau-nails-tsurcan-katerina-nail-studio-010","Tsurcan Katerina Nail Studio","","","nails","Маникюрные студии","","Chișinău","Centru","Str. Toma Ciorbă 24, Chișinău","+37360753035","","https://www.instagram.com/k.tsurcan/","","","","https://apnt.app/tsurcan_katerina","новый","","verified_no_site","2026-07-15","high","8","5 000–12 000","Предложить личный сайт мастера с сертификатами, работами, правилами стерилизации и записью.","https://apnt.app/tsurcan_katerina","https://www.instagram.com/k.tsurcan/","","brand_exact_search: ""Tsurcan Katerina Nail Studio"" website OR ""official site"" OR ""site oficial"" Chișinău => no_owned_site_found_in_public_search_checkpoint || brand_md_domain_search: ""Tsurcan Katerina Nail Studio"" site:.md => no_owned_md_domain_found_in_public_search_checkpoint || builder_search: ""Tsurcan Katerina Nail Studio"" site:tilda.ws OR site:wixsite.com OR site:sites.google.com => no_builder_landing_found_in_public_search_checkpoint || bio_link_check: https://www.instagram.com/k.tsurcan/ bio links / website field => no_owned_website_link_recorded_in_checked_public_sources || phone_exact_search: ""+37360753035"" => no_owned_site_found_from_phone_search_checkpoint || probable_domain_check: tsurcankaterinanailstudio.md tsurcankaterinanailstudio.com tsurcankaterinanailstudio.ro => no_probable_owned_domain_confirmed_in_checkpoint","Checkpoint 1: public-source verification recorded; repeat website check before outreach."
"chisinau-beauty-wow-my-brows-011","WOW MY BROWS","Societatea cu Răspundere Limitată ""WOW MY BROWS""","1023600004604","beauty","Салоны красоты","Tarasenco Irina","Chișinău","Centru","Str. București 38, Chișinău","+37379818468","","https://www.instagram.com/wowmybrows_/","","","","https://apnt.app/wow_my_brows","новый","","verified_no_site","2026-07-15","high","10","9 000–20 000","Показать сайт премиум-салона: мастера, процедуры PMU/brows, отзывы и страница записи.","https://apnt.app/wow_my_brows","https://www.instagram.com/wowmybrows_/","https://www.asp.gov.md/sites/default/files/date-deschise/date-statistice/2023/rsud/buletinul-electronic/Buletinul-Electronic-03-2023.pdf","brand_exact_search: ""WOW MY BROWS"" website OR ""official site"" OR ""site oficial"" Chișinău => no_owned_site_found_in_public_search_checkpoint || brand_md_domain_search: ""WOW MY BROWS"" site:.md => no_owned_md_domain_found_in_public_search_checkpoint || builder_search: ""WOW MY BROWS"" site:tilda.ws OR site:wixsite.com OR site:sites.google.com => no_builder_landing_found_in_public_search_checkpoint || bio_link_check: https://www.instagram.com/wowmybrows_/ bio links / website field => no_owned_website_link_recorded_in_checked_public_sources || phone_exact_search: ""+37379818468"" => no_owned_site_found_from_phone_search_checkpoint || probable_domain_check: wowmybrows.md wowmybrows.com wowmybrows.ro => no_probable_owned_domain_confirmed_in_checkpoint","Checkpoint 1: public-source verification recorded; repeat website check before outreach."
