sample_no,id,name,niche,address,phone,source_1,source_2,website_absence_result,manual_audit_status,notes
"1","chisinau-nails-yellow-boutique-001","Yellow Boutique","nails","Str. Nicolae Dimo 21, Chișinău","+37378757585","https://apnt.app/yellow_boutique","https://www.instagram.com/yellow_boutique.md/","verified_no_site","checkpoint_browser/manual_review_required_before_final","Included in rolling sample; full final audit will be refreshed at 500 leads."
"2","chisinau-craft-superhot-ceramics-048","Superhot Ceramics","craft","Str. Alexandru cel Bun 111, Chișinău","","https://www.instagram.com/superhot.ceram/","https://www.facebook.com/100079836793556/","verified_no_site","checkpoint_browser/manual_review_required_before_final","Included in rolling sample; full final audit will be refreshed at 500 leads."
"3","chisinau-kids-leader-land-095","Leader Land","kids","Str. Nicolae Testemițanu 17/6, Chișinău","+37368141141","https://www.instagram.com/leaderland.moldova/","https://www.instagram.com/p/DCWpguBtfvy/","verified_no_site","checkpoint_browser/manual_review_required_before_final","Included in rolling sample; full final audit will be refreshed at 500 leads."
"4","chisinau-beauty-popovici-mihaela-studio-142","Popovici Mihaela Studio","beauty","Str. Armenească 33/1, Chișinău","+37360269161","https://apnt.app/popovici_studio","https://www.instagram.com/popovici_studio/","verified_no_site","checkpoint_browser/manual_review_required_before_final","Included in rolling sample; full final audit will be refreshed at 500 leads."
"5","chisinau-coffee-rugby-house-pub-189","Rugby House Pub","coffee","Bd. Mircea cel Bătrân 25/2, Chișinău","+37369992020","https://g0.md/en/explore/rugby-house-pub","https://www.google.com/maps/search/Rugby%20House%20Pub%20Mircea%20cel%20Batran%2025%2F2%20Chisinau","verified_no_site","checkpoint_browser/manual_review_required_before_final","Included in rolling sample; full final audit will be refreshed at 500 leads."
"6","chisinau-coffee-restaurantul-regatul-vinului-236","Restaurantul Regatul Vinului","coffee","Strada Chișinău 124, Cricova","+37368101701","https://g0.md/en/explore/restaurantul-regatul-vinului-cricova","https://www.google.com/maps/search/Restaurantul%20Regatul%20Vinului%20Cricova","verified_no_site","checkpoint_browser/manual_review_required_before_final","Included in rolling sample; full final audit will be refreshed at 500 leads."
"7","chisinau-coffee-hotel-restaurant-valea-stancii-283","Hotel-Restaurant Valea Stâncii","coffee","Unnamed Road, Trebujeni, Orhei","+37369400157","https://g0.md/en/explore/hotel-restaurant-valea-stancii","https://www.google.com/maps/search/Hotel%20Restaurant%20Valea%20Stancii%20Trebujeni","verified_no_site","checkpoint_browser/manual_review_required_before_final","Included in rolling sample; full final audit will be refreshed at 500 leads."
"8","chisinau-coffee-casa-agricultorului-varzari-330","Casa Agricultorului Varzari","coffee","Butuceni, Orhei","+37360124315","https://g0.md/en/explore/casa-agricultorului-varzari","https://www.google.com/maps/search/Casa%20Agricultorului%20Varzari%20Butuceni","verified_no_site","checkpoint_browser/manual_review_required_before_final","Included in rolling sample; full final audit will be refreshed at 500 leads."
"9","chisinau-craft-branesti-cellars-377","Branești Cellars","craft","Village Brănești, Orhei","+37323559999","https://g0.md/en/explore/branesti-cellars","https://www.google.com/maps/search/Branesti%20Cellars%20Moldova","verified_no_site","checkpoint_browser/manual_review_required_before_final","Included in rolling sample; full final audit will be refreshed at 500 leads."
"10","chisinau-nails-bugaescu-daria-424","Bugăescu Daria","nails","Bulevardul Ștefan cel Mare 69, Chișinău","+37369781808","https://apnt.app/bugaescu_daria","https://www.google.com/maps/search/Bug%C4%83escu%20Daria%20Bulevardul%20%C8%98tefan%20cel%20Mare%2069%20Chisinau","verified_no_site","checkpoint_browser/manual_review_required_before_final","Included in rolling sample; full final audit will be refreshed at 500 leads."
"11","chisinau-beauty-balti-471","Косметолог Татьяна · Bălți","beauty","Bălți","+37379312419","https://www.beautynailhairsalons.com/MD/Balti/288667605065247/%D0%9A%D0%BE%D1%81%D0%BC%D0%B5%D1%82%D0%BE%D0%BB%D0%BE%D0%B3-%D0%A2%D0%B0%D1%82%D1%8C%D1%8F%D0%BD%D0%B0","https://www.facebook.com/cosmetologtatia","verified_no_site","checkpoint_browser/manual_review_required_before_final","Included in rolling sample; full final audit will be refreshed at 500 leads."
"12","chisinau-psychology-piana-vyshnia-chisinau-518","Piana Vyshnia Chișinău","psychology","online / RO","","https://www.instagram.com/pianavyshnia_moldova/","https://search.brave.com/search?q=site%3Ainstagram.com%20%D0%BF%D1%81%D0%B8%D1%85%D0%BE%D1%82%D0%B5%D1%80%D0%B0%D0%BF%D0%B5%D0%B2%D1%82%20Moldova","verified_no_site","checkpoint_browser/manual_review_required_before_final","Included in rolling sample; full final audit will be refreshed at 500 leads."
